"Rank","WSID","Name","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"72","","Evan Engram","NYG","TE7","9","47","150","78.4","16.4","64.0","-8.0"
"73","","Robby Anderson","NYJ","WR32","11","44","212","79.9","21.4","99.0","+26.0"
"74","","Drew Brees","NO","QB6","6","38","107","69.4","14.0","62.0","-12.0"
"75","","Devin Funchess","CAR","WR33","4","45","163","81.1","19.8","88.0","+13.0"
"76","","Robert Woods","LAR","WR34","12","45","162","81.3","19.8","86.0","+10.0"
"77","","Kyle Rudolph","MIN","TE8","10","47","137","82.6","14.9","76.0","-1.0"
"78","","Jamaal Williams","GB","RB30","7","42","137","81.7","19.8","78.0","0.0"
"79","","Sony Michel","NE","RB31","11","33","172","80.9","23.4","71.0","-8.0"
"80","","Jamison Crowder","WAS","WR35","4","46","145","84.0","16.9","101.0","+21.0"
"81","","Cooper Kupp","LAR","WR36","12","44","121","83.2","15.1","91.0","+10.0"
"82","","Pierre Garcon","SF","WR37","11","49","143","85.7","17.7","97.0","+15.0"
"83","","Chris Carson","SEA","RB32","7","48","210","87.7","27.6","90.0","+7.0"
"84","","Will Fuller","HOU","WR38","10","54","157","89.2","17.1","75.0","-9.0"
"85","","Rashaad Penny","SEA","RB33","7","28","141","84.4","22.4","73.0","-12.0"
"86","","Trey Burton","CHI","TE9","5","43","135","90.8","19.2","87.0","+1.0"
"87","","Isaiah Crowell","NYJ","RB34","11","43","227","87.9","25.7","84.0","-3.0"
"88","","Carson Wentz","PHI","QB7","9","36","200","81.2","25.0","68.0","-20.0"
"89","","Kirk Cousins","MIN","QB8","10","41","147","82.0","17.1","81.0","-8.0"
"90","","Randall Cobb","GB","WR39","7","49","195","88.7","23.1","100.0","+10.0"
"91","","Matthew Stafford","DET","QB9","6","47","142","85.5","17.7","96.0","+5.0"
"92","","Andrew Luck","IND","QB10","9","48","217","86.8","22.8","85.0","-7.0"
"93","","Nelson Agholor","PHI","WR40","9","64","153","95.9","17.8","105.0","+12.0"
"94","","Chris Thompson","WAS","RB35","4","43","139","91.7","18.6","94.0","0.0"
"95","","Kenny Stills","MIA","WR41","11","49","213","97.6","25.3","120.0","+25.0"
"96","","Peyton Barber","TB","RB36","5","33","280","98.1","36.3","113.0","+17.0"
"97","","Julian Edelman","NE ","WR42","11","57","215","96.4","21.0","74.0","-23.0"
"98","","Jordan Reed","WAS","TE10","4","58","173","100.0","19.4","92.0","-6.0"
"99","","Marlon Mack","IND","RB37","9","38","186","96.3","27.2","93.0","-6.0"
"100","","Jordy Nelson","OAK","WR43","7","41","193","100.4","22.7","83.0","-17.0"
"101","","Ben Roethlisberger","PIT","QB11","7","52","142","95.1","18.3","98.0","-3.0"
"102","","Duke Johnson","CLE","RB38","11","34","179","104.2","26.6","104.0","+2.0"
"103","","Kelvin Benjamin","BUF","WR44","11","54","203","104.5","22.4","112.0","+9.0"
"104","","Ronald Jones II","TB","RB39","5","42","196","106.5","26.4","77.0","-27.0"
"105","","Philip Rivers","LAC","QB12","8","46","202","101.4","23.5","103.0","-2.0"
"106","","Tarik Cohen","CHI","RB40","5","49","164","106.3","21.9","89.0","-17.0"
"107","","Sterling Shepard","NYG","WR45","9","67","192","107.7","22.3","114.0","+7.0"
"108","","Jack Doyle","IND","TE11","9","53","222","114.4","24.0","117.0","+9.0"
"109","","Jimmy Garoppolo","SF","QB13","11","56","223","106.7","24.7","95.0","-14.0"
"110","","C.J. Anderson","CAR","RB41","4","34","174","112.9","25.6","109.0","-1.0"
"111","","David Njoku","CLE","TE12","11","64","197","117.1","20.8","108.0","-3.0"
"112","","Matt Ryan","ATL","QB14","8","59","230","110.4","24.4","102.0","-10.0"
"113","","Patrick Mahomes","KC","QB15","12","48","262","114.9","29.3","115.0","+2.0"
"114","","Devante Parker","MIA","WR46","11","63","247","118.6","29.9","116.0","+2.0"
"115","","Allen Hurns","DAL","WR47","8","67","221","120.9","26.9","123.0","+8.0"
"116","","George Kittle","SF","TE13","11","68","184","127.3","23.4","134.0","+18.0"
"117","","Aaron Jones","GB ","RB42","7","39","227","124.9","36.1","110.0","-7.0"
"118","","Kenny Golladay","DET","WR48","6","75","225","123.1","23.9","144.0","+26.0"
