"Rank","Tier","WSID","Name","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"374","13","","Nick Vannett","SEA","TE46","11","210","348","299.6","32.7","367.0","-7.0"
"375","13","","Miami (MIA)","","DST30","5","167","443","315.7","46.9","315.0","-60.0"
"376","13","","Blake Bortles","LAR","QB39","9","247","456","304.8","54.2","365.0","-11.0"
"377","13","","Matt Gay","TB","K26","7","191","452","286.7","63.0","255.0","-122.0"
"378","13","","Dawson Knox","BUF","TE47","6","190","364","293.2","46.3","380.0","+2.0"
"379","13","","Raheem Mostert","SF","RB116","4","213","481","287.0","98.0","",""
"380","13","","Chris Moore","BAL","WR122","8","216","371","290.6","60.1","239.0","-141.0"
"381","13","","Austin Seibert","CLE","K27","7","191","432","290.8","60.4","228.0","-153.0"
"382","13","","Jesse James","DET","TE48","5","221","367","293.8","46.6","349.0","-33.0"
"383","13","","Adam Shaheen","CHI","TE49","6","109","375","296.4","50.5","",""
"384","13","","Tim Patrick","DEN","WR123","10","192","355","279.3","53.2","359.0","-25.0"
"385","13","","Damion Willis","CIN","WR124","9","196","294","251.6","35.2","",""
"386","13","","Kelvin Harmon","WAS","WR125","10","213","405","284.6","51.9","251.0","-135.0"
"387","13","","Cairo Santos","FA","K28","","246","326","288.3","23.5","",""
"388","13","","Tyler Higbee","LAR","TE50","9","214","372","299.5","44.4","",""
"389","13","","Nick Mullens","SF","QB40","4","250","464","321.3","69.3","",""
"390","13","","Mike Davis","FA","WR126","","110","233","187.0","42.4","",""
"391","13","","Tyler Kroft","BUF","TE51","6","204","378","300.8","42.0","396.0","+5.0"
"392","14","","Cameron Meredith","NE","WR127","10","244","434","330.8","53.2","",""
"393","14","","Ryan Switzer","PIT","WR128","7","194","419","292.9","72.8","394.0","+1.0"
"394","14","","Travis Homer","SEA","RB117","11","232","402","299.3","44.5","",""
"395","14","","Jake Butt","DEN","TE52","10","239","394","324.0","41.2","",""
