"Rank","WSID","Name","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","","Todd Gurley","LAR","RB1","12","1","8","1.6","1.0","1.0","0.0"
"2","","Le'Veon Bell","PIT","RB2","7","1","14","2.8","1.9","2.0","0.0"
"3","","David Johnson","ARI","RB3","9","1","20","3.3","2.1","4.0","+1.0"
"4","","Ezekiel Elliott","DAL","RB4","8","1","10","3.6","1.6","3.0","-1.0"
"5","","Antonio Brown","PIT","WR1","7","2","14","5.0","1.5","5.0","0.0"
"6","","Alvin Kamara","NO","RB5","6","3","19","8.1","3.0","7.0","+1.0"
"7","","DeAndre Hopkins","HOU","WR2","10","3","37","8.4","3.7","10.0","+3.0"
"8","","Saquon Barkley","NYG","RB6","9","2","22","8.8","3.3","6.0","-2.0"
"9","","Odell Beckham Jr.","NYG","WR3","9","3","20","9.8","2.8","12.0","+3.0"
"10","","Melvin Gordon","LAC","RB7","8","4","23","10.3","3.0","11.0","+1.0"
"11","","Leonard Fournette","JAC","RB8","9","3","24","10.6","3.3","8.0","-3.0"
"12","","Kareem Hunt","KC","RB9","12","6","29","11.7","3.5","9.0","-3.0"
"13","","Julio Jones","ATL","WR4","8","5","19","11.8","2.6","14.0","+1.0"
"14","","Michael Thomas","NO","WR5","6","7","40","14.5","3.4","16.0","+2.0"
"15","","Dalvin Cook","MIN","RB10","10","7","32","16.4","4.4","13.0","-2.0"
"16","","Keenan Allen","LAC","WR6","8","9","23","16.4","2.9","19.0","+3.0"
"17","","A.J. Green","CIN","WR7","9","9","34","17.9","3.3","22.0","+5.0"
"18","","Davante Adams","GB","WR8","7","10","37","17.9","3.8","18.0","0.0"
"19","","Devonta Freeman","ATL","RB11","8","12","36","20.0","4.2","17.0","-2.0"
"20","","Christian McCaffrey","CAR","RB12","4","5","39","20.0","5.8","15.0","-5.0"
"21","","Jordan Howard","CHI","RB13","5","12","45","21.8","4.6","20.0","-1.0"
"22","","Rob Gronkowski","NE","TE1","11","11","42","23.4","4.1","21.0","-1.0"
"23","","Mike Evans","TB","WR9","5","15","52","24.8","5.8","25.0","+2.0"
"24","","Joe Mixon","CIN","RB14","9","11","63","26.2","7.8","23.0","-1.0"
"25","","T.Y. Hilton","IND","WR10","9","15","41","25.9","5.1","29.0","+4.0"
"26","","Tyreek Hill","KC","WR11","12","13","72","29.4","7.7","27.0","+1.0"
"27","","Travis Kelce","KC","TE2","12","19","56","31.0","8.0","28.0","+1.0"
"28","","Stefon Diggs","MIN","WR12","10","16","53","29.7","7.3","30.0","+2.0"
"29","","LeSean McCoy","BUF","RB15","11","8","71","32.6","10.2","26.0","-3.0"
"30","","Alex Collins","BAL","RB16","10","18","95","33.8","9.7","31.0","+1.0"
"31","","Adam Thielen","MIN","WR13","10","10","62","32.9","8.0","32.0","+1.0"
"32","","Doug Baldwin","SEA","WR14","7","18","78","32.5","10.0","37.0","+5.0"
"33","","Amari Cooper","OAK","WR15","7","21","68","35.2","7.9","35.0","+2.0"
"34","","Kenyan Drake","MIA","RB17","11","23","97","37.1","11.5","34.0","0.0"
"35","","Larry Fitzgerald","ARI","WR16","9","18","89","38.8","9.1","43.0","+8.0"
"36","","Zach Ertz","PHI","TE3","9","23","70","41.6","10.6","39.0","+3.0"
"37","","Derrick Henry","TEN","RB18","8","22","86","41.7","11.5","33.0","-4.0"
"38","","Jay Ajayi","PHI","RB19","9","17","91","42.6","11.9","38.0","0.0"
"39","","Lamar Miller","HOU","RB20","10","22","93","42.8","12.5","45.0","+6.0"
"40","","Royce Freeman","DEN","RB21","10","22","81","44.5","12.0","41.0","+1.0"
"41","","Demaryius Thomas","DEN","WR17","10","24","98","44.9","11.6","47.0","+6.0"
"42","","Allen Robinson","CHI","WR18","5","25","96","44.0","10.8","52.0","+10.0"
"43","","JuJu Smith-Schuster","PIT","WR19","7","13","75","45.9","9.4","40.0","-3.0"
"44","","Brandin Cooks","LAR","WR20","12","23","90","48.7","12.3","46.0","+2.0"
"45","","Marvin Jones","DET","WR21","6","22","120","49.4","11.8","54.0","+9.0"
